Beggar	AgeClass	Sex	Mother	Species_Item_Simple	ProcessingSteps_Complexity	PopFreq_Rarity	NrBeggingEvents	FollowHours	BeggingFreq	Site
Chuck	1	male	Chick	BNGPR_FR	2	0.000896802	1	21.8	0.0778626	wild
Lilly	7	female	Lisa	RAYAP_IN	3	0.086011424	5	809.5	0.0105005	wild
Lilly	7	female	Lisa	CMG_FR	5	0.030628831	17	809.5	0.0357016	wild
Fredy	3	male	Friska	RSKB_FR	1	0.018822642	4	772.1	0.0088075	wild
Ellie	9	female	Friska	MLK_FR	2.35	0.246574575	1	1953.4	0.0008703	wild
Fredy	3	male	Friska	AKAR_LV	0	0.002338818	3	772.1	0.0066056	wild
Fredy	3	male	Friska	UNK_FR	0	0.001447112	1	772.1	0.0022019	wild
Fredy	3	male	Friska	CMG_FR	5	0.030628831	1	772.1	0.0022019	wild
Fredy	3	male	Friska	UNK_LV	0	0.00115667	1	772.1	0.0022019	wild
Fredy	3	male	Friska	RP_LV	0	0.004733686	1	772.1	0.0022019	wild
Chindy	5	female	Cissy	UNK_LV	0	0.00115667	4	316.3	0.0214986	wild
Chindy	5	female	Cissy	RAYAP_IN	3	0.086011424	4	316.3	0.0214986	wild
Chindy	5	female	Cissy	UNK_IN	2.5	0.000214009	4	316.3	0.0214986	wild
Chindy	5	female	Cissy	AJK_VE	4	0.000244582	1	316.3	0.0053746	wild
Chindy	5	female	Cissy	AKAR_LV	0	0.002338818	6	316.3	0.0322479	wild
Lilly	7	female	Lisa	AKAR_LV	0	0.002338818	1	809.5	0.0021001	wild
Ronaldo	2	male	Raffi	RSKP_FR	1	0.008799865	16	127.8	0.2129159	wild
Fredy	3.5	male	Friska	AKAR_LV	0	0.002338818	5	659.6	0.0128876	wild
Ellie	9	female	Friska	AKAR_LV	0	0.002338818	1	1953.4	0.0008703	wild
Fredy	4	male	Friska	UNK	0	0.000835656	4	514.5	0.0132180	wild
Fredy	4	male	Friska	ULAT_IN	5	0.001289152	2	514.5	0.0066090	wild
Fredy	4	male	Friska	ASK_LV	0	0.018797165	1	514.5	0.0033045	wild
Fredy	4	male	Friska	ATB_VE	4	0.000193628	1	514.5	0.0033045	wild
Fredy	2.5	male	Friska	KULBT_FR	1	0.00967119	1	772.1	0.0022019	wild
Fredy	2.5	male	Friska	AKAR_NA	0	0.000443305	2	772.1	0.0044038	wild
Fredy	3	male	Friska	SEMUT_IN	2	0.05084763	2	772.1	0.0044038	wild
Fredy	3	male	Friska	PRD_FR	3	0.005951501	1	772.1	0.0022019	wild
Fredy	3	male	Friska	RTN_VE	1	0.0028076	4	772.1	0.0088075	wild
Fredy	3	male	Friska	KULBT_FR	1	0.00967119	5	772.1	0.0110094	wild
Fredy	3	male	Friska	MLK_FR	2.35	0.246574575	1	772.1	0.0022019	wild
Fredy	3.5	male	Friska	UNK	0	0.000835656	1	659.6	0.0025775	wild
Fredy	3.5	male	Friska	ASK_LV	0	0.018797165	2	659.6	0.0051550	wild
Fredy	3.5	male	Friska	CMG_FR	5	0.030628831	2	659.6	0.0051550	wild
Fredy	3	male	Friska	UNK	0	0.000835656	5	772.1	0.0110094	wild
Fredy	3	male	Friska	UNK_IN	2.5	0.000214009	1	772.1	0.0022019	wild
Fredy	3	male	Friska	RSKP_LV	0	0.02737283	1	772.1	0.0022019	wild
Fredy	3	male	Friska	TOOLUSE	5	1.52864E-05	2	772.1	0.0044038	wild
Fredy	3	male	Friska	UNK_VE	4	0.000601265	1	772.1	0.0022019	wild
Lilly	7	female	Lisa	KULBT_FR	1	0.00967119	4	809.5	0.0084004	wild
Lilly	6.5	female	Lisa	CMG_FR	5	0.030628831	2	809.5	0.0042002	wild
Lilly	7	female	Lisa	AKAR_NA	0	0.000443305	2	809.5	0.0042002	wild
Chindy	5	female	Cissy	SEMUT_IN	2	0.05084763	4	316.3	0.0214986	wild
Chindy	5	female	Cissy	RP_LV	0	0.004733686	1	316.3	0.0053746	wild
Chindy	5	female	Cissy	MDGB_FR	1	0.013574315	2	316.3	0.0107493	wild
Chindy	5	female	Cissy	KULJM_FR	1	0.002043281	1	316.3	0.0053746	wild
Chindy	5	female	Cissy				0	316.3	0.0000000	wild
Chindy	5	female	Cissy	MLK_FR	2.35	0.246574575	3	316.3	0.0161239	wild
Ian		male	Intai	RAYAP_IN	3	0.086011424	0	0.0	0.0000000	wild
Ronaldo	2	male	Raffi	RSKP_LV	0	0.02737283	2	127.8	0.0266145	wild
Ronaldo	1.5	male	Raffi	SEMUT_IN	2	0.05084763	2	139.6	0.0243640	wild
Fredy	3	male	Friska	MLK_FL	0	0.007790964	1	772.1	0.0022019	wild
Fredy	3.5	male	Friska	RSKP_FR	1	0.008799865	2	659.6	0.0051550	wild
Chindy	6	female	Cissy	UNK	0	0.000835656	1	251.2	0.0067680	wild
Chindy	6	female	Cissy	MLK_FR	2.35	0.246574575	1	251.2	0.0067680	wild
Fredy	4	male	Friska	SEMUT_IN	2	0.05084763	4	514.5	0.0132180	wild
Fredy	4	male	Friska	AKAR_LV	0	0.002338818	2	514.5	0.0066090	wild
Fredy	4	male	Friska	RAYAP_IN	3	0.086011424	9	514.5	0.0297405	wild
Fredy	4	male	Friska	AKAR_VE	4	0.000779606	1	514.5	0.0033045	wild
Fredy	4	male	Friska	RP_LV	0	0.004733686	4	514.5	0.0132180	wild
Fredy	4	male	Friska	MNGH_FR	3	0.027907854	1	514.5	0.0033045	wild
Fredy	4	male	Friska	SPG_FR	3	0.052972439	4	514.5	0.0132180	wild
Fredy	4	male	Friska	AJK_VE	4	0.000244582	1	514.5	0.0033045	wild
Fredy	4	male	Friska	RSKP_LV	0	0.02737283	1	514.5	0.0033045	wild
Cinnamon	7	female	Cissy	SEMUT_IN	2	0.05084763	1	186.0	0.0091390	wild
Pepito	6.5	male	Piniata	RNGS_BK	2	0.002450918	3	22.3	0.2290419	wild
Eden	5	female	Ellie	BSG_BK	2	0.002262386	1	321.4	0.0052891	wild
Eden	5	female	Ellie	SEMUT_IN	2	0.05084763	1	321.4	0.0052891	wild
Eden	5	female	Ellie	MADU_KERINGAT_IN	4	4.07637E-05	1	321.4	0.0052891	wild
Eden	5	female	Ellie	UNK_IN	2.5	0.000214009	2	321.4	0.0105782	wild
Pepito	7	male	Piniata	CMG_FR	5	0.030628831	1	22.3	0.0763473	wild
Frankie	6.5	male	Friska	RAYAP_IN	3	0.086011424	2	242.5	0.0140187	wild
Luther	3	male	Lilly	UBR_FR	3	0.016015042	1	25.1	0.0678191	wild
Luther	3	male	Lilly	UNK_LV	0	0.00115667	3	25.1	0.2034574	wild
Frankie	6.5	male	Friska	RNGS_BK	2	0.002450918	1	242.5	0.0070093	wild
Eden	5	female	Ellie	RAYAP_IN	3	0.086011424	10	321.4	0.0528908	wild
Eden	4.5	female	Ellie	RAYAP_IN	3	0.086011424	10	356.9	0.0476346	wild
Frankie		male	Friska	ATB_VE	4	0.000193628	0	1036.8	0.0000000	wild
Frankie		male	Friska	RTN_VE	1	0.0028076	0	1036.8	0.0000000	wild
Eden	4.5	female	Ellie	APKSB_LV	0	6.6241E-05	1	356.9	0.0047635	wild
Eden	5	female	Ellie	ASK_LV	0	0.018797165	1	321.4	0.0052891	wild
Frankie	6.5	male	Friska	UNK	0	0.000835656	1	242.5	0.0070093	wild
Frankie	7	male	Friska	UNK	0	0.000835656	1	201.0	0.0084577	wild
Eden	4.5	female	Ellie	UNK_IN	2.5	0.000214009	5	356.9	0.0238173	wild
Frankie	7	male	Friska	UNK_IN	2.5	0.000214009	3	201.0	0.0253731	wild
Eden	4.5	female	Ellie	TMPGRW_FR	3	0.00016815	3	356.9	0.0142904	wild
Frankie	7	male	Friska	RAYAP_IN	3	0.086011424	6	201.0	0.0507463	wild
Frankie	7	male	Friska	MADU_KERINGAT_IN	4	4.07637E-05	1	201.0	0.0084577	wild
Frankie	7	male	Friska	APKSB_LV	0	6.6241E-05	1	201.0	0.0084577	wild
Eden	5	female	Ellie	MADU_IN	4	2.03819E-05	1	321.4	0.0052891	wild
Sari	2.5	female	Padana	PAPRIKA_FR	2	5	2	13.3	0.1503759	zoo
Martok	3	male	Raja	SALAD_VE	0	5	8	13.3	0.6015038	zoo
Martok	3	male	Raja	WILLOW_LEAVES_LV	0	4	14	13.3	1.0526316	zoo
Sari	2.5	female	Padana	WILLOW_LEAVES_LV	0	4	10	13.3	0.7518797	zoo
Rima	0.5	female	Pini	WILLOW_LEAVES_LV	0	4	2	13.3	0.1503759	zoo
Martok	3	male	Raja	PAPRIKA_FR	2	5	10	13.3	0.7518797	zoo
Sari	2.5	female	Padana	SALAD_VE	0	5	8	13.3	0.6015038	zoo
Sari	2.5	female	Padana	LEEK_VE	1	5	4	13.3	0.3007519	zoo
Martok	3	male	Raja	BROCCOLI_VE	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CELERY_ROOT_ROOT	2	5	5	13.3	0.3759398	zoo
Martok	3	male	Raja	ZUCCHINI_PIECE_FR	0	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	ZUCCHINI_PIECE_FR	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CARROT_ROOT	1	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CARROT_ROOT	1	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CELERY_ROOT_ROOT	2	5	3	13.3	0.2255639	zoo
Sari	2.5	female	Padana	CELERY_STEM_VE	1	5	4	13.3	0.3007519	zoo
Sari	2.5	female	Padana	BEETROOT_ROOT	2	5	4	13.3	0.3007519	zoo
Martok	3	male	Raja	CELERY_ROOT_PIECE_ROOT	0	2	3	13.3	0.2255639	zoo
Martok	3	male	Raja	INSECT_IN	0		1	13.3	0.0751880	zoo
Martok	3	male	Raja	CELERY_STEM_VE	1	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	CEREAL_OAT	0	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	CHINESE_CABBAGE_VE	0	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	APPLE_FR	0	5	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	CELERY_ROOT_PIECE_ROOT	0	2	4	13.3	0.3007519	zoo
Sari	2.5	female	Padana	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	FLOUR_OATMEAL_GRAIN_OAT	0	3	7	13.3	0.5263158	zoo
Sari	2.5	female	Padana	FLOUR_OATMEAL_GRAIN_OAT	0	3	4	13.3	0.3007519	zoo
Rima	0.5	female	Pini	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Martok	3	male	Raja	FENNEL_ROOT	2	2	1	13.3	0.0751880	zoo
Rima	0.5	female	Pini	CHINESE_CABBAGE_VE	0	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	COOKED_CARROT_PAPERWRAP_ROOT	1	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	COOKED_CARROT_PAPERWRAP_ROOT	1	2	1	13.3	0.0751880	zoo
Sari	2.5	female	Padana	OAK_LEAVES_LV	0	3	7	13.3	0.5263158	zoo
Martok	3	male	Raja	OAK_LEAVES_LV	0	3	5	13.3	0.3759398	zoo
Martok	3	male	Raja	KOHLRABI_ROOT	2	5	2	13.3	0.1503759	zoo
Rima	0.5	female	Pini	SALAD_VE	0	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	KOHLRABI_ROOT	2	5	1	13.3	0.0751880	zoo
Martok	3	male	Raja	BEETROOT_ROOT	2	5	2	13.3	0.1503759	zoo
Sari	2.5	female	Padana	LIME_LEAVES_LV	0	2	1	13.3	0.0751880	zoo
